2023-09-14 15:07:00.153 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-09-14 15:07:00.154 [info] Added views:workbench.panel.output in workbench.panel.output
2023-09-14 15:07:00.154 [info] Added views:terminal in terminal
2023-09-14 15:07:00.154 [info] Added views:outline in workbench.view.explorer
2023-09-14 15:07:00.154 [info] Added views:workbench.scm in workbench.view.scm
2023-09-14 15:07:00.154 [info] Added views:workbench.view.search in workbench.view.search
2023-09-14 15:07:00.154 [info] Added views:timeline in workbench.view.explorer
2023-09-14 15:07:00.154 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-09-14 15:07:01.010 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:07:03.341 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-09-14 15:07:06.360 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-09-14 15:07:06.397 [info] Added views:dartDependencyTree in workbench.view.explorer
2023-09-14 15:07:29.863 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-09-14 15:08:16.900 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-09-14 15:08:17.518 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:08:17.520 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:08:32.520 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:08:32.522 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:08:35.215 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:08:35.217 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:08:40.732 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:08:40.732 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:08:50.376 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:08:50.378 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:10:32.888 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:10:32.953 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:10:51.260 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:10:51.262 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:11:32.654 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:11:32.656 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:11:54.508 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:11:54.510 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:12:10.245 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:12:10.247 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:12:30.819 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:12:30.821 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:12:42.430 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:12:42.432 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:13:10.492 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:13:10.492 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:13:16.208 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:13:16.210 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:13:37.242 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:13:37.244 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-09-14 15:15:10.647 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-09-14 15:15:10.654 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-09-14 15:16:57.784 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-09-14 15:16:57.786 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
